,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,1589251587,-0.74,-90.35,75.99,95,99,1.01
1,Saint-Joseph,RE,1589251587,-21.37,55.62,68.0,60,90,4.7
2,Zhaoyuan,CN,1589251588,37.36,120.4,64.49,30,0,18.9
3,Yellowknife,CA,1589251535,62.46,-114.35,46.4,42,75,13.87
4,Busselton,AU,1589251588,-33.65,115.33,62.01,81,100,5.01
5,Longyearbyen,SJ,1589251588,78.22,15.64,15.8,78,20,10.29
6,Coquimbo,CL,1589251588,-29.95,-71.34,51.8,93,43,3.36
7,Payakumbuh,ID,1589251589,-0.22,100.63,84.72,65,100,2.28
8,Mataura,NZ,1589251589,-46.19,168.86,53.87,62,100,1.45
9,Thompson,CA,1589251589,55.74,-97.86,35.6,29,20,6.93
10,Jamestown,US,1589251589,42.1,-79.24,37.99,93,90,9.17
11,Olinda,BR,1589251589,-8.01,-34.86,77.0,88,40,4.7
12,Norsup,VU,1589251590,-16.07,167.38,84.2,66,40,6.93
13,Mahébourg,MU,1589251590,-20.41,57.7,73.4,56,40,6.93
14,La Vergne,US,1589251547,36.02,-86.58,55.4,57,1,4.7
15,Salinópolis,BR,1589251590,-0.61,-47.36,79.29,84,100,7.92
16,Atuona,PF,1589251590,-9.8,-139.03,80.76,74,66,19.04
17,Upernavik,GL,1589251591,72.79,-56.15,31.73,93,100,8.63
18,Ushuaia,AR,1589251591,-54.8,-68.3,39.2,86,75,26.4
19,Rikitea,PF,1589251591,-23.12,-134.97,74.39,68,0,7.14
20,Chokurdakh,RU,1589251591,70.63,147.92,31.71,99,78,9.8
21,Qaanaaq,GL,1589251592,77.48,-69.36,10.06,73,0,2.57
22,Bluff,NZ,1589251592,-46.6,168.33,52.74,72,10,13.71
23,Mirny,RU,1589251592,62.54,113.96,33.8,55,40,2.24
24,Vol'sk,RU,1589251593,52.03,47.38,52.41,78,0,3.33
25,Tuktoyaktuk,CA,1589251593,69.45,-133.04,30.2,86,90,13.87
26,Zaysan,KZ,1589251593,47.47,84.87,74.44,19,32,3.65
27,Pevek,RU,1589251593,69.7,170.31,37.56,77,0,14.36
28,Presidencia Roque Sáenz Peña,AR,1589251594,-26.79,-60.44,68.11,80,63,4.52
29,Provideniya,RU,1589251594,64.38,-173.3,41.0,80,56,4.47
30,Manggar,ID,1589251594,-2.88,108.27,84.65,79,100,11.16
31,Pinega,RU,1589251594,64.7,43.39,51.1,74,98,15.37
32,Verkh-Usugli,RU,1589251594,52.7,115.17,52.07,40,47,9.24
33,Chui,UY,1589251595,-33.7,-53.46,53.76,81,0,7.27
34,Saint Paul Harbor,US,1589251595,57.79,-152.41,51.8,50,75,10.29
35,East London,ZA,1589251597,-33.02,27.91,64.78,73,49,10.38
36,Iqaluit,CA,1589251597,63.75,-68.51,37.4,69,75,17.22
37,Bintulu,MY,1589251348,3.17,113.03,77.0,100,90,2.24
38,Haimen,CN,1589251598,23.19,116.61,82.4,74,75,2.24
39,Winchester,GB,1589251413,51.07,-1.32,37.4,95,0,3.36
40,Swift Current,CA,1589251598,50.28,-107.8,42.8,33,1,10.29
41,Hilo,US,1589251598,19.73,-155.09,75.99,83,90,6.93
42,Butaritari,KI,1589251598,3.07,172.79,84.09,75,75,11.14
43,New Norfolk,AU,1589251599,-42.78,147.06,62.6,51,75,13.87
44,Harper,LR,1589251599,4.38,-7.72,78.33,89,100,10.07
45,Havøysund,NO,1589251599,71.0,24.66,30.2,74,100,18.34
46,Kapaa,US,1589251424,22.08,-159.32,78.8,69,90,14.99
47,La Ronge,CA,1589251600,55.1,-105.28,41.0,18,20,5.82
48,Horki,BY,1589251600,54.29,30.98,59.47,93,100,18.66
49,Pasni,PK,1589251600,25.26,63.47,81.52,87,31,6.55
50,Kumul,CN,1589251600,42.8,93.45,74.98,13,100,8.05
51,Thunder Bay,CA,1589251445,48.4,-89.32,39.2,27,75,6.93
52,Apomu,NG,1589251601,7.33,4.18,72.63,92,5,2.42
